gene,base_mean,log2fc,pvalue,padj
ENSMUSG00000073535,534.5434362565385,-2.0694721850782987,2.3284656357671627e-103,4.4492321368238946e-99
ENSMUSG00000024063,1672.4089800801019,-1.4176789803314351,4.4617666282797873e-91,4.2627718366585085e-87
ENSMUSG00000006576,775.8956173821381,-1.8578057617167099,7.687660705754186e-82,4.896527358851699e-78
ENSMUSG00000028444,600.3226218592422,2.54289643895491,1.0549238195732332e-72,5.039371086101335e-69
ENSMUSG00000025085,25938.32104608335,-1.7735718658057729,7.068122306196815e-72,2.7011536205361748e-68
ENSMUSG00000033576,4252.120139997555,-1.0816906791359082,1.6674166104159934e-67,5.310166098638133e-64
ENSMUSG00000057948,138.77371858841067,-3.977261512178894,6.966027518625242e-67,1.9015264832270158e-63
ENSMUSG00000052276,2251.0093909123707,-1.666859315270709,7.983738384565322e-65,1.906915913153427e-61
ENSMUSG00000038178,6760.689110405551,-1.1318201220333604,3.4223984101657794e-64,7.266132091271968e-61
ENSMUSG00000040485,412.47991688495466,-2.8464782417773042,2.0322273709033003e-59,3.883180060322026e-56
ENSMUSG00000029862,5850.679281819971,0.6875295828561688,2.251736037822839e-59,3.911470200974437e-56
ENSMUSG00000032402,6872.1376087326435,1.3358944110231978,2.478841909333015e-59,3.947142600294604e-56
ENSMUSG00000068697,20550.734893827423,1.041306364519643,5.205903996074674e-59,7.651877965922683e-56
ENSMUSG00000010461,922.3004146542747,1.329932975191891,5.9639583860993565e-59,8.139951202970465e-56
ENSMUSG00000020919,12267.761422031186,1.0054199380448883,3.081518582700324e-56,3.9254438052158526e-53
ENSMUSG00000030554,35812.04105716887,0.7209080603678889,2.1583358603107523e-53,2.5775926011761157e-50
ENSMUSG00000120512,2559.856963359283,1.1680220382965996,2.3560046460792356e-52,2.648149222193061e-49
ENSMUSG00000030161,4708.509796938865,-1.564362105054069,5.618962225168417e-52,5.96484056658434e-49
ENSMUSG00000023828,191.01026086743263,2.115937134127607,3.3223305953710825e-51,3.341215421913192e-48
ENSMUSG00000026173,665.9687123989644,1.5538859648698309,5.130563177227278e-51,4.9017400595229415e-48
ENSMUSG00000047205,5654.361665152122,-1.9107071661529365,1.2673783701017188e-48,1.1531936140906498e-45
ENSMUSG00000020990,269.9946312048152,-2.4696849398569434,4.1526359885515244e-48,3.606753112238297e-45
ENSMUSG00000036856,485.6109191730281,1.7330682842151064,6.005179539187257e-48,4.988998723251744e-45
ENSMUSG00000029223,676.7873558725299,-1.6586591421365786,5.627771908492674e-47,4.480644401144917e-44
ENSMUSG00000028373,662.1680798031996,-1.3317546414420829,8.231856540713489e-47,6.291772591198134e-44
ENSMUSG00000029469,1386.8399817209686,-1.0836513095897313,1.2833002350751286e-46,9.431269573775215e-44
ENSMUSG00000027253,2771.184076496496,0.5629507686015116,3.1247793290413248e-46,2.21141790441932e-43
ENSMUSG00000048416,4881.7848505876655,1.5056931091721233,5.021090357261275e-46,3.426535519519587e-43
ENSMUSG00000030541,62830.31606202988,-1.22219645741073,1.0438770141066556e-45,6.8780696501896464e-43
ENSMUSG00000046312,4967.732671628745,1.1575929334936743,2.0179964946219822e-45,1.285329233974561e-42
ENSMUSG00000096606,1022.6930756029519,1.1101417019353994,2.913903662471747e-45,1.7960926187906498e-42
ENSMUSG00000038370,7100.837295518729,-1.5634500897841757,6.974491594540146e-45,4.164643293389784e-42
ENSMUSG00000021760,374.141729263903,-1.1098983296578635,7.207165332352805e-45,4.1731671263817394e-42
ENSMUSG00000024789,2897.7876248080497,0.9564190558391179,7.863289315846949e-45,4.419168595505985e-42
ENSMUSG00000038168,1776.983419478631,-2.078577170196411,1.4269516237330831e-44,7.790340464654788e-42
ENSMUSG00000033161,12476.68559946162,-1.157704031886067,2.4451653842446284e-44,1.29783944894851e-41
ENSMUSG00000030433,3924.6023666342767,1.521415722506152,4.792198514953675e-44,2.4748467357766166e-41
ENSMUSG00000040543,263.17439120911746,1.507945803111709,7.631472669795031e-44,3.8374257835379854e-41
ENSMUSG00000049551,6412.010459373095,-1.286505925432008,4.2403310540916405e-43,2.077544763630335e-40
ENSMUSG00000033044,3047.4508882983882,0.612551897515243,1.5619518688767483e-42,7.461444077624227e-40
ENSMUSG00000085348,575.3322511279448,1.7017916822990404,2.4067944477315534e-41,1.1216836172501103e-38
ENSMUSG00000051343,10759.013608404775,-1.2838591415480285,2.94777746139062e-41,1.3410983745774278e-38
ENSMUSG00000025068,4731.352294987836,-0.8835704620668072,5.18260981393925e-41,2.303007170343051e-38
ENSMUSG00000038763,82571.70009594964,-0.7280709528413796,1.1909257810166433e-40,5.171865869015004e-38
ENSMUSG00000004043,1455.4988764585114,0.8835460291691484,1.4179977505383064e-40,6.021133559396879e-38
ENSMUSG00000008393,996.4421741212062,-1.0446401825958203,1.7047692642268894e-40,7.081463282792914e-38
ENSMUSG00000020340,6489.1433621451315,-1.5871523266007719,6.2503621821375846e-40,2.541104693112446e-37
ENSMUSG00000091337,1795.8876824974702,-0.5598491810395781,1.244027637520862e-39,4.952266687030964e-37
ENSMUSG00000032114,970.8061950786433,0.8929454255328397,1.3245435010467406e-39,5.165179024081862e-37
ENSMUSG00000052698,18368.668454120158,0.5765464483421864,2.7685415734500442e-39,1.0580258477096689e-36
ENSMUSG00000025477,9774.268659883946,-0.8694296838110395,4.006905377374622e-39,1.5012538813896918e-36
ENSMUSG00000052852,1503.872156104515,0.7803442812497711,9.641844685009114e-39,3.543007081560657e-36
ENSMUSG00000032224,131.50260736140999,-2.083814834366756,2.550728030907937e-38,9.196096455582803e-36
ENSMUSG00000085479,412.1461224203809,0.9998248096641646,4.190744270535393e-38,1.4829026207664868e-35
ENSMUSG00000048578,3584.6994680979383,-0.5184369417609876,4.986152397179959e-38,1.7147370610442218e-35
ENSMUSG00000039542,1499.401074656386,-1.0005302542290753,5.025396452714905e-38,1.7147370610442218e-35
ENSMUSG00000110949,732.2341366886734,-0.7474186987241098,6.325311513542996e-38,2.120421971943501e-35
ENSMUSG00000019838,1617.8711191550171,1.0154922722328346,1.0844479819976439e-37,3.572695179312238e-35
ENSMUSG00000021814,2651.948392536478,-0.6351563095893779,1.3382094488188647e-37,4.3339840928865877e-35
ENSMUSG00000048852,457.89185359771346,3.096620498699076,1.4631090467515321e-37,4.6595146108880457e-35
ENSMUSG00000056328,912707.7602801365,1.8076953142030974,3.893627256189466e-37,1.2196627805125953e-34
ENSMUSG00000035504,243.2730745516457,-1.5484869853397967,4.5899808507126514e-37,1.4146024854099572e-34
ENSMUSG00000048701,4371.581752792906,0.4576946239451794,8.141888043221554e-37,2.469447567140912e-34
ENSMUSG00000112071,91.35265145604507,-3.4151393191791,8.801862034354754e-37,2.6279059336320415e-34
ENSMUSG00000055782,2580.8085477873706,0.8013466878836396,1.0275951678722193e-36,3.0208136104157483e-34
ENSMUSG00000049690,287.6963986696831,-2.0285792501225965,1.1439702154376125e-36,3.311967102512409e-34
ENSMUSG00000097431,1035.5440262900186,-0.6085068941797246,1.6346963535762122e-36,4.628068793562977e-34
ENSMUSG00000038776,1654.5456306422109,-1.1154664681286317,1.6469995706629812e-36,4.628068793562977e-34
ENSMUSG00000019927,3119.8676896160596,0.5134627678764778,2.1589133171355774e-36,5.978625458525596e-34
ENSMUSG00000030091,1470.3937471884653,0.6404398861845864,2.415453881290137e-36,6.593498966241706e-34
ENSMUSG00000055435,3411.5527957294776,1.1742728849936677,3.0526504413125795e-35,8.215499244028277e-33
ENSMUSG00000040653,2119.9764750709396,1.2725789257438729,7.349991243292148e-35,1.9506060094003663e-32
ENSMUSG00000030592,419897.027308735,0.4873184070168489,1.1664966891751842e-34,3.053345032432797e-32
ENSMUSG00000041143,479.368885786245,-1.1416076196792762,1.934969063093569e-34,4.996403899674583e-32
